id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
117976,2023-09-27,By Month,Texas,All Sexes,55-64 years,264,2870,288,0
117977,2023-09-27,By Month,Texas,All Sexes,65-74 years,303,4312,441,0
117978,2023-09-27,By Month,Texas,All Sexes,75-84 years,256,4574,424,0
117979,2023-09-27,By Month,Texas,All Sexes,85 years and over,173,4595,332,0
117980,2023-09-27,By Month,Texas,Male,All Ages,784,10726,1016,0
117981,2023-09-27,By Month,Texas,Male,Under 1 year,0,81,0,0
117982,2023-09-27,By Month,Texas,Male,0-17 years,0,172,0,0
117983,2023-09-27,By Month,Texas,Male,1-4 years,0,23,0,0
117984,2023-09-27,By Month,Texas,Male,5-14 years,0,29,0,0
117985,2023-09-27,By Month,Texas,Male,15-24 years,0,232,0,0
117986,2023-09-27,By Month,Texas,Male,18-29 years,16,371,13,0
117987,2023-09-27,By Month,Texas,Male,25-34 years,24,399,20,0
117988,2023-09-27,By Month,Texas,Male,30-39 years,41,483,34,0
117989,2023-09-27,By Month,Texas,Male,35-44 years,81,583,62,0
117990,2023-09-27,By Month,Texas,Male,40-49 years,115,733,83,0
117991,2023-09-27,By Month,Texas,Male,45-54 years,123,950,101,0
117992,2023-09-27,By Month,Texas,Male,50-64 years,210,2305,231,0
117993,2023-09-27,By Month,Texas,Male,55-64 years,147,1767,171,0
117994,2023-09-27,By Month,Texas,Male,65-74 years,170,2508,266,0
117995,2023-09-27,By Month,Texas,Male,75-84 years,144,2361,227,0
117996,2023-09-27,By Month,Texas,Male,85 years and over,87,1793,160,0
117997,2023-09-27,By Month,Texas,Female,All Ages,559,9111,762,0
117998,2023-09-27,By Month,Texas,Female,Under 1 year,0,82,0,0
117999,2023-09-27,By Month,Texas,Female,0-17 years,0,136,0,0
118000,2023-09-27,By Month,Texas,Female,1-4 years,0,20,0,0
118001,2023-09-27,By Month,Texas,Female,5-14 years,0,22,0,0
