id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
118258,2023-09-27,By Month,Texas,Female,18-29 years,15,155,13,0
118259,2023-09-27,By Month,Texas,Female,25-34 years,16,159,18,0
118260,2023-09-27,By Month,Texas,Female,30-39 years,26,205,22,0
118261,2023-09-27,By Month,Texas,Female,35-44 years,40,271,30,0
118262,2023-09-27,By Month,Texas,Female,40-49 years,61,391,58,0
118263,2023-09-27,By Month,Texas,Female,45-54 years,86,559,75,0
118264,2023-09-27,By Month,Texas,Female,50-64 years,214,1519,229,0
118265,2023-09-27,By Month,Texas,Female,55-64 years,166,1196,192,0
118266,2023-09-27,By Month,Texas,Female,65-74 years,226,2071,262,0
118267,2023-09-27,By Month,Texas,Female,75-84 years,229,2558,277,0
118268,2023-09-27,By Month,Texas,Female,85 years and over,174,3155,258,0
118269,2023-09-27,By Month,Texas,All Sexes,All Ages,6489,27879,4836,39
118270,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,185,0,0
118271,2023-09-27,By Month,Texas,All Sexes,0-17 years,17,338,0,0
118272,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,43,0,0
118273,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,47,0,0
118274,2023-09-27,By Month,Texas,All Sexes,15-24 years,23,330,13,0
118275,2023-09-27,By Month,Texas,All Sexes,18-29 years,60,542,35,0
118276,2023-09-27,By Month,Texas,All Sexes,25-34 years,106,636,70,0
118277,2023-09-27,By Month,Texas,All Sexes,30-39 years,147,750,101,0
118278,2023-09-27,By Month,Texas,All Sexes,35-44 years,197,930,128,0
118279,2023-09-27,By Month,Texas,All Sexes,40-49 years,326,1263,205,0
118280,2023-09-27,By Month,Texas,All Sexes,45-54 years,512,1782,353,0
118281,2023-09-27,By Month,Texas,All Sexes,50-64 years,1337,5059,971,0
118282,2023-09-27,By Month,Texas,All Sexes,55-64 years,1034,3999,749,0
118283,2023-09-27,By Month,Texas,All Sexes,65-74 years,1523,5963,1204,13
118284,2023-09-27,By Month,Texas,All Sexes,75-84 years,1654,6884,1299,0
118285,2023-09-27,By Month,Texas,All Sexes,85 years and over,1425,7080,1012,0
118286,2023-09-27,By Month,Texas,Male,All Ages,3743,14983,2763,16
118287,2023-09-27,By Month,Texas,Male,Under 1 year,0,90,0,0
118288,2023-09-27,By Month,Texas,Male,0-17 years,10,191,0,0
118289,2023-09-27,By Month,Texas,Male,1-4 years,0,27,0,0
118290,2023-09-27,By Month,Texas,Male,5-14 years,0,29,0,0
118291,2023-09-27,By Month,Texas,Male,15-24 years,0,239,0,0
118292,2023-09-27,By Month,Texas,Male,18-29 years,31,387,18,0
118293,2023-09-27,By Month,Texas,Male,25-34 years,64,437,43,0
118294,2023-09-27,By Month,Texas,Male,30-39 years,90,485,60,0
118295,2023-09-27,By Month,Texas,Male,35-44 years,116,590,73,0
118296,2023-09-27,By Month,Texas,Male,40-49 years,194,776,117,0
118297,2023-09-27,By Month,Texas,Male,45-54 years,316,1080,207,0
118298,2023-09-27,By Month,Texas,Male,50-64 years,834,3096,583,0
118299,2023-09-27,By Month,Texas,Male,55-64 years,645,2443,452,0
118300,2023-09-27,By Month,Texas,Male,65-74 years,873,3411,691,0
118301,2023-09-27,By Month,Texas,Male,75-84 years,955,3675,742,0
118302,2023-09-27,By Month,Texas,Male,85 years and over,756,2962,548,0
118303,2023-09-27,By Month,Texas,Female,All Ages,2746,12896,2073,23
118304,2023-09-27,By Month,Texas,Female,Under 1 year,0,95,0,0
118305,2023-09-27,By Month,Texas,Female,0-17 years,0,147,0,0
118306,2023-09-27,By Month,Texas,Female,1-4 years,0,16,0,0
118307,2023-09-27,By Month,Texas,Female,5-14 years,0,18,0,0
118308,2023-09-27,By Month,Texas,Female,15-24 years,14,91,0,0
118309,2023-09-27,By Month,Texas,Female,18-29 years,29,155,17,0
118310,2023-09-27,By Month,Texas,Female,25-34 years,42,199,27,0
118311,2023-09-27,By Month,Texas,Female,30-39 years,57,265,41,0
118312,2023-09-27,By Month,Texas,Female,35-44 years,81,340,55,0
118313,2023-09-27,By Month,Texas,Female,40-49 years,132,487,88,0
118314,2023-09-27,By Month,Texas,Female,45-54 years,196,702,146,0
118315,2023-09-27,By Month,Texas,Female,50-64 years,503,1963,388,0
118316,2023-09-27,By Month,Texas,Female,55-64 years,389,1556,297,0
118317,2023-09-27,By Month,Texas,Female,65-74 years,650,2552,513,0
118318,2023-09-27,By Month,Texas,Female,75-84 years,699,3209,557,0
118319,2023-09-27,By Month,Texas,Female,85 years and over,669,4118,464,0
118320,2023-09-27,By Month,Texas,All Sexes,All Ages,4803,23084,3756,25
118321,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,151,0,0
118322,2023-09-27,By Month,Texas,All Sexes,0-17 years,12,280,0,0
118323,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,43,0,0
118324,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,46,0,0
118325,2023-09-27,By Month,Texas,All Sexes,15-24 years,10,285,0,0
118326,2023-09-27,By Month,Texas,All Sexes,18-29 years,33,494,22,0
118327,2023-09-27,By Month,Texas,All Sexes,25-34 years,55,525,38,0
118328,2023-09-27,By Month,Texas,All Sexes,30-39 years,82,662,60,0
118329,2023-09-27,By Month,Texas,All Sexes,35-44 years,120,827,100,0
118330,2023-09-27,By Month,Texas,All Sexes,40-49 years,189,987,148,0
118331,2023-09-27,By Month,Texas,All Sexes,45-54 years,296,1414,215,0
118332,2023-09-27,By Month,Texas,All Sexes,50-64 years,921,3983,719,0
118333,2023-09-27,By Month,Texas,All Sexes,55-64 years,746,3115,589,0
118334,2023-09-27,By Month,Texas,All Sexes,65-74 years,1212,5046,997,0
118335,2023-09-27,By Month,Texas,All Sexes,75-84 years,1286,5833,999,0
118336,2023-09-27,By Month,Texas,All Sexes,85 years and over,1068,5799,803,0
118337,2023-09-27,By Month,Texas,Male,All Ages,2806,12477,2201,11
118338,2023-09-27,By Month,Texas,Male,Under 1 year,0,77,0,0
118339,2023-09-27,By Month,Texas,Male,0-17 years,0,153,0,0
118340,2023-09-27,By Month,Texas,Male,1-4 years,0,30,0,0
118341,2023-09-27,By Month,Texas,Male,5-14 years,0,23,0,0
118342,2023-09-27,By Month,Texas,Male,15-24 years,0,205,0,0
118343,2023-09-27,By Month,Texas,Male,18-29 years,19,355,13,0
118344,2023-09-27,By Month,Texas,Male,25-34 years,37,378,25,0
118345,2023-09-27,By Month,Texas,Male,30-39 years,56,465,41,0
118346,2023-09-27,By Month,Texas,Male,35-44 years,74,546,64,0
118347,2023-09-27,By Month,Texas,Male,40-49 years,108,611,84,0
118348,2023-09-27,By Month,Texas,Male,45-54 years,172,877,125,0
118349,2023-09-27,By Month,Texas,Male,50-64 years,532,2443,432,0
118350,2023-09-27,By Month,Texas,Male,55-64 years,428,1891,352,0
118351,2023-09-27,By Month,Texas,Male,65-74 years,742,2930,604,0
118352,2023-09-27,By Month,Texas,Male,75-84 years,774,3088,598,0
118353,2023-09-27,By Month,Texas,Male,85 years and over,568,2432,421,0
118354,2023-09-27,By Month,Texas,Female,All Ages,1997,10607,1555,14
118355,2023-09-27,By Month,Texas,Female,Under 1 year,0,74,0,0
118356,2023-09-27,By Month,Texas,Female,0-17 years,0,127,0,0
118357,2023-09-27,By Month,Texas,Female,1-4 years,0,13,0,0
118358,2023-09-27,By Month,Texas,Female,5-14 years,0,23,0,0
118359,2023-09-27,By Month,Texas,Female,15-24 years,0,80,0,0
118360,2023-09-27,By Month,Texas,Female,18-29 years,14,139,0,0
118361,2023-09-27,By Month,Texas,Female,25-34 years,18,147,13,0
118362,2023-09-27,By Month,Texas,Female,30-39 years,26,197,19,0
118363,2023-09-27,By Month,Texas,Female,35-44 years,46,281,36,0
118364,2023-09-27,By Month,Texas,Female,40-49 years,81,376,64,0
118365,2023-09-27,By Month,Texas,Female,45-54 years,124,537,90,0
118366,2023-09-27,By Month,Texas,Female,50-64 years,389,1540,287,0
118367,2023-09-27,By Month,Texas,Female,55-64 years,318,1224,237,0
118368,2023-09-27,By Month,Texas,Female,65-74 years,470,2116,393,0
118369,2023-09-27,By Month,Texas,Female,75-84 years,512,2745,401,0
118370,2023-09-27,By Month,Texas,Female,85 years and over,500,3367,382,0
118371,2023-09-27,By Month,Texas,All Sexes,All Ages,1363,20441,1716,44
118372,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,188,0,0
118373,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,337,0,0
118374,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,38,0,0
118375,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,52,0,0
118376,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,298,0,0
118377,2023-09-27,By Month,Texas,All Sexes,18-29 years,12,499,11,0
118378,2023-09-27,By Month,Texas,All Sexes,25-34 years,23,549,18,0
118379,2023-09-27,By Month,Texas,All Sexes,30-39 years,31,634,29,0
118380,2023-09-27,By Month,Texas,All Sexes,35-44 years,46,786,50,0
118381,2023-09-27,By Month,Texas,All Sexes,40-49 years,66,1008,83,0
118382,2023-09-27,By Month,Texas,All Sexes,45-54 years,80,1331,106,0
118383,2023-09-27,By Month,Texas,All Sexes,50-64 years,253,3525,344,0
118384,2023-09-27,By Month,Texas,All Sexes,55-64 years,211,2761,288,0
118385,2023-09-27,By Month,Texas,All Sexes,65-74 years,356,4381,439,13
118386,2023-09-27,By Month,Texas,All Sexes,75-84 years,348,5002,458,0
118387,2023-09-27,By Month,Texas,All Sexes,85 years and over,288,5055,343,12
118388,2023-09-27,By Month,Texas,Male,All Ages,771,10926,974,21
118389,2023-09-27,By Month,Texas,Male,Under 1 year,0,105,0,0
118390,2023-09-27,By Month,Texas,Male,0-17 years,0,191,0,0
118391,2023-09-27,By Month,Texas,Male,1-4 years,0,19,0,0
118392,2023-09-27,By Month,Texas,Male,5-14 years,0,25,0,0
118393,2023-09-27,By Month,Texas,Male,15-24 years,0,219,0,0
118394,2023-09-27,By Month,Texas,Male,18-29 years,0,372,0,0
118395,2023-09-27,By Month,Texas,Male,25-34 years,14,392,12,0
118396,2023-09-27,By Month,Texas,Male,30-39 years,22,428,15,0
118397,2023-09-27,By Month,Texas,Male,35-44 years,30,492,25,0
118398,2023-09-27,By Month,Texas,Male,40-49 years,38,618,45,0
118399,2023-09-27,By Month,Texas,Male,45-54 years,45,828,57,0
118400,2023-09-27,By Month,Texas,Male,50-64 years,144,2200,201,0
118401,2023-09-27,By Month,Texas,Male,55-64 years,121,1729,171,0
118402,2023-09-27,By Month,Texas,Male,65-74 years,224,2538,266,0
118403,2023-09-27,By Month,Texas,Male,75-84 years,202,2602,273,0
118404,2023-09-27,By Month,Texas,Male,85 years and over,130,1977,164,0
118405,2023-09-27,By Month,Texas,Female,All Ages,592,9515,742,23
118406,2023-09-27,By Month,Texas,Female,Under 1 year,0,83,0,0
118407,2023-09-27,By Month,Texas,Female,0-17 years,0,146,0,0
118408,2023-09-27,By Month,Texas,Female,1-4 years,0,19,0,0
118409,2023-09-27,By Month,Texas,Female,5-14 years,0,27,0,0
118410,2023-09-27,By Month,Texas,Female,15-24 years,0,79,0,0
118411,2023-09-27,By Month,Texas,Female,18-29 years,0,127,0,0
118412,2023-09-27,By Month,Texas,Female,25-34 years,0,157,0,0
118413,2023-09-27,By Month,Texas,Female,30-39 years,0,206,14,0
118414,2023-09-27,By Month,Texas,Female,35-44 years,16,294,25,0
118415,2023-09-27,By Month,Texas,Female,40-49 years,28,390,38,0
118416,2023-09-27,By Month,Texas,Female,45-54 years,35,503,49,0
118417,2023-09-27,By Month,Texas,Female,50-64 years,109,1325,143,0
118418,2023-09-27,By Month,Texas,Female,55-64 years,90,1032,117,0
118419,2023-09-27,By Month,Texas,Female,65-74 years,132,1843,173,0
118420,2023-09-27,By Month,Texas,Female,75-84 years,146,2400,185,0
118421,2023-09-27,By Month,Texas,Female,85 years and over,158,3078,179,0
118422,2023-09-27,By Month,Texas,All Sexes,All Ages,437,18217,1134,31
118423,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,195,0,0
118424,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,327,0,0
118425,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,38,0,0
118426,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,47,0,0
118427,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,271,0,0
118428,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,447,0,0
118429,2023-09-27,By Month,Texas,All Sexes,25-34 years,0,490,15,0
118430,2023-09-27,By Month,Texas,All Sexes,30-39 years,11,594,24,0
118431,2023-09-27,By Month,Texas,All Sexes,35-44 years,12,721,25,0
118432,2023-09-27,By Month,Texas,All Sexes,40-49 years,22,886,42,0
118433,2023-09-27,By Month,Texas,All Sexes,45-54 years,33,1214,58,0
118434,2023-09-27,By Month,Texas,All Sexes,50-64 years,76,3283,186,0
118435,2023-09-27,By Month,Texas,All Sexes,55-64 years,61,2561,158,0
118436,2023-09-27,By Month,Texas,All Sexes,65-74 years,105,3843,290,0
118437,2023-09-27,By Month,Texas,All Sexes,75-84 years,105,4394,326,10
118438,2023-09-27,By Month,Texas,All Sexes,85 years and over,110,4443,254,0
118439,2023-09-27,By Month,Texas,Male,All Ages,240,9742,633,15
118440,2023-09-27,By Month,Texas,Male,Under 1 year,0,124,0,0
118441,2023-09-27,By Month,Texas,Male,0-17 years,0,208,0,0
118442,2023-09-27,By Month,Texas,Male,1-4 years,0,21,0,0
118443,2023-09-27,By Month,Texas,Male,5-14 years,0,30,0,0
118444,2023-09-27,By Month,Texas,Male,15-24 years,0,192,0,0
118445,2023-09-27,By Month,Texas,Male,18-29 years,0,316,0,0
118446,2023-09-27,By Month,Texas,Male,25-34 years,0,344,0,0
118447,2023-09-27,By Month,Texas,Male,30-39 years,0,403,14,0
118448,2023-09-27,By Month,Texas,Male,35-44 years,0,477,15,0
118449,2023-09-27,By Month,Texas,Male,40-49 years,17,585,25,0
118450,2023-09-27,By Month,Texas,Male,45-54 years,22,777,33,0
118451,2023-09-27,By Month,Texas,Male,50-64 years,48,2011,117,0
118452,2023-09-27,By Month,Texas,Male,55-64 years,40,1558,101,0
118453,2023-09-27,By Month,Texas,Male,65-74 years,61,2203,175,0
118454,2023-09-27,By Month,Texas,Male,75-84 years,56,2239,167,0
118455,2023-09-27,By Month,Texas,Male,85 years and over,45,1777,129,0
118456,2023-09-27,By Month,Texas,Female,All Ages,197,8475,501,16
118457,2023-09-27,By Month,Texas,Female,Under 1 year,0,71,0,0
118458,2023-09-27,By Month,Texas,Female,0-17 years,0,119,0,0
118459,2023-09-27,By Month,Texas,Female,1-4 years,0,17,0,0
118460,2023-09-27,By Month,Texas,Female,5-14 years,0,17,0,0
118461,2023-09-27,By Month,Texas,Female,15-24 years,0,79,0,0
118462,2023-09-27,By Month,Texas,Female,18-29 years,0,131,0,0
118463,2023-09-27,By Month,Texas,Female,25-34 years,0,146,0,0
118464,2023-09-27,By Month,Texas,Female,30-39 years,0,191,10,0
118465,2023-09-27,By Month,Texas,Female,35-44 years,0,244,10,0
118466,2023-09-27,By Month,Texas,Female,40-49 years,0,301,17,0
118467,2023-09-27,By Month,Texas,Female,45-54 years,11,437,25,0
118468,2023-09-27,By Month,Texas,Female,50-64 years,28,1272,69,0
118469,2023-09-27,By Month,Texas,Female,55-64 years,21,1003,57,0
118470,2023-09-27,By Month,Texas,Female,65-74 years,44,1640,115,0
118471,2023-09-27,By Month,Texas,Female,75-84 years,49,2155,159,0
118472,2023-09-27,By Month,Texas,Female,85 years and over,65,2666,125,0
118473,2023-09-27,By Month,Texas,All Sexes,All Ages,323,18427,1059,14
118474,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,162,0,0
118475,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,345,11,0
118476,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,50,0,0
118477,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,77,0,0
118478,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,331,0,0
118479,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,504,14,0
118480,2023-09-27,By Month,Texas,All Sexes,25-34 years,0,528,14,0
118481,2023-09-27,By Month,Texas,All Sexes,30-39 years,12,673,24,0
118482,2023-09-27,By Month,Texas,All Sexes,35-44 years,11,799,32,0
118483,2023-09-27,By Month,Texas,All Sexes,40-49 years,14,929,44,0
118484,2023-09-27,By Month,Texas,All Sexes,45-54 years,22,1236,62,0
118485,2023-09-27,By Month,Texas,All Sexes,50-64 years,60,3367,184,0
118486,2023-09-27,By Month,Texas,All Sexes,55-64 years,49,2635,151,0
118487,2023-09-27,By Month,Texas,All Sexes,65-74 years,62,3793,252,0
118488,2023-09-27,By Month,Texas,All Sexes,75-84 years,77,4369,266,0
118489,2023-09-27,By Month,Texas,All Sexes,85 years and over,93,4447,264,0
118490,2023-09-27,By Month,Texas,Male,All Ages,154,9967,595,0
118491,2023-09-27,By Month,Texas,Male,Under 1 year,0,96,0,0
118492,2023-09-27,By Month,Texas,Male,0-17 years,0,199,0,0
118493,2023-09-27,By Month,Texas,Male,1-4 years,0,24,0,0
118494,2023-09-27,By Month,Texas,Male,5-14 years,0,39,0,0
118495,2023-09-27,By Month,Texas,Male,15-24 years,0,246,0,0
118496,2023-09-27,By Month,Texas,Male,18-29 years,0,375,10,0
118497,2023-09-27,By Month,Texas,Male,25-34 years,0,381,11,0
118498,2023-09-27,By Month,Texas,Male,30-39 years,0,461,18,0
118499,2023-09-27,By Month,Texas,Male,35-44 years,0,516,22,0
118500,2023-09-27,By Month,Texas,Male,40-49 years,0,586,28,0
118501,2023-09-27,By Month,Texas,Male,45-54 years,11,794,38,0
118502,2023-09-27,By Month,Texas,Male,50-64 years,28,2102,108,0
118503,2023-09-27,By Month,Texas,Male,55-64 years,22,1627,88,0
118504,2023-09-27,By Month,Texas,Male,65-74 years,36,2170,146,0
118505,2023-09-27,By Month,Texas,Male,75-84 years,38,2333,153,0
118506,2023-09-27,By Month,Texas,Male,85 years and over,39,1741,125,0
118507,2023-09-27,By Month,Texas,Female,All Ages,169,8460,464,0
118508,2023-09-27,By Month,Texas,Female,Under 1 year,0,66,0,0
118509,2023-09-27,By Month,Texas,Female,0-17 years,0,146,0,0
118510,2023-09-27,By Month,Texas,Female,1-4 years,0,26,0,0
118511,2023-09-27,By Month,Texas,Female,5-14 years,0,38,0,0
118512,2023-09-27,By Month,Texas,Female,15-24 years,0,85,0,0
118513,2023-09-27,By Month,Texas,Female,18-29 years,0,129,0,0
118514,2023-09-27,By Month,Texas,Female,25-34 years,0,147,0,0
118515,2023-09-27,By Month,Texas,Female,30-39 years,0,212,0,0
118516,2023-09-27,By Month,Texas,Female,35-44 years,0,283,10,0
118517,2023-09-27,By Month,Texas,Female,40-49 years,0,343,16,0
118518,2023-09-27,By Month,Texas,Female,45-54 years,11,442,24,0
118519,2023-09-27,By Month,Texas,Female,50-64 years,32,1265,76,0
118520,2023-09-27,By Month,Texas,Female,55-64 years,27,1008,63,0
118521,2023-09-27,By Month,Texas,Female,65-74 years,26,1623,106,0
118522,2023-09-27,By Month,Texas,Female,75-84 years,39,2036,113,0
118523,2023-09-27,By Month,Texas,Female,85 years and over,54,2706,139,0
118524,2023-09-27,By Month,Texas,All Sexes,All Ages,518,18491,1079,17
118525,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,196,0,0
118526,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,352,0,0
118527,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,35,0,0
118528,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,60,0,0
118529,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,361,0,0
118530,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,564,14,0
118531,2023-09-27,By Month,Texas,All Sexes,25-34 years,0,588,12,0
118532,2023-09-27,By Month,Texas,All Sexes,30-39 years,0,689,18,0
118533,2023-09-27,By Month,Texas,All Sexes,35-44 years,14,818,38,0
118534,2023-09-27,By Month,Texas,All Sexes,40-49 years,18,981,42,0
118535,2023-09-27,By Month,Texas,All Sexes,45-54 years,24,1230,51,0
118536,2023-09-27,By Month,Texas,All Sexes,50-64 years,87,3195,185,0
118537,2023-09-27,By Month,Texas,All Sexes,55-64 years,73,2493,153,0
118538,2023-09-27,By Month,Texas,All Sexes,65-74 years,103,3949,260,0
118539,2023-09-27,By Month,Texas,All Sexes,75-84 years,147,4393,278,0
118540,2023-09-27,By Month,Texas,All Sexes,85 years and over,147,4368,276,0
118541,2023-09-27,By Month,Texas,Male,All Ages,263,9819,597,0
118542,2023-09-27,By Month,Texas,Male,Under 1 year,0,111,0,0
118543,2023-09-27,By Month,Texas,Male,0-17 years,0,223,0,0
118544,2023-09-27,By Month,Texas,Male,1-4 years,0,21,0,0
118545,2023-09-27,By Month,Texas,Male,5-14 years,0,40,0,0
118546,2023-09-27,By Month,Texas,Male,15-24 years,0,261,0,0
118547,2023-09-27,By Month,Texas,Male,18-29 years,0,417,0,0
118548,2023-09-27,By Month,Texas,Male,25-34 years,0,440,0,0
118549,2023-09-27,By Month,Texas,Male,30-39 years,0,489,10,0
118550,2023-09-27,By Month,Texas,Male,35-44 years,0,558,22,0
118551,2023-09-27,By Month,Texas,Male,40-49 years,12,643,27,0
118552,2023-09-27,By Month,Texas,Male,45-54 years,14,780,30,0
118553,2023-09-27,By Month,Texas,Male,50-64 years,52,1908,109,0
118554,2023-09-27,By Month,Texas,Male,55-64 years,45,1469,91,0
118555,2023-09-27,By Month,Texas,Male,65-74 years,57,2281,158,0
118556,2023-09-27,By Month,Texas,Male,75-84 years,78,2197,142,0
118557,2023-09-27,By Month,Texas,Male,85 years and over,56,1661,141,0
118558,2023-09-27,By Month,Texas,Female,All Ages,255,8672,482,0
118559,2023-09-27,By Month,Texas,Female,Under 1 year,0,85,0,0
118560,2023-09-27,By Month,Texas,Female,0-17 years,0,129,0,0
118561,2023-09-27,By Month,Texas,Female,1-4 years,0,14,0,0
118562,2023-09-27,By Month,Texas,Female,5-14 years,0,20,0,0
118563,2023-09-27,By Month,Texas,Female,15-24 years,0,100,0,0
118564,2023-09-27,By Month,Texas,Female,18-29 years,0,147,0,0
118565,2023-09-27,By Month,Texas,Female,25-34 years,0,148,0,0
118566,2023-09-27,By Month,Texas,Female,30-39 years,0,200,0,0
118567,2023-09-27,By Month,Texas,Female,35-44 years,0,260,16,0
118568,2023-09-27,By Month,Texas,Female,40-49 years,0,338,15,0
118569,2023-09-27,By Month,Texas,Female,45-54 years,10,450,21,0
118570,2023-09-27,By Month,Texas,Female,50-64 years,35,1287,76,0
118571,2023-09-27,By Month,Texas,Female,55-64 years,28,1024,62,0
118572,2023-09-27,By Month,Texas,Female,65-74 years,46,1668,102,0
118573,2023-09-27,By Month,Texas,Female,75-84 years,69,2196,136,0
118574,2023-09-27,By Month,Texas,Female,85 years and over,91,2707,135,0
118575,2023-09-27,By Month,Texas,All Sexes,All Ages,1090,20114,1381,0
118576,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,214,0,0
118577,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,396,0,0
118578,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,44,0,0
118579,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,77,0,0
118580,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,342,0,0
118581,2023-09-27,By Month,Texas,All Sexes,18-29 years,10,543,13,0
118582,2023-09-27,By Month,Texas,All Sexes,25-34 years,11,607,17,0
118583,2023-09-27,By Month,Texas,All Sexes,30-39 years,14,729,25,0
118584,2023-09-27,By Month,Texas,All Sexes,35-44 years,24,832,34,0
118585,2023-09-27,By Month,Texas,All Sexes,40-49 years,30,1040,51,0
118586,2023-09-27,By Month,Texas,All Sexes,45-54 years,47,1334,70,0
118587,2023-09-27,By Month,Texas,All Sexes,50-64 years,144,3544,218,0
118588,2023-09-27,By Month,Texas,All Sexes,55-64 years,113,2802,180,0
118589,2023-09-27,By Month,Texas,All Sexes,65-74 years,230,4248,324,0
118590,2023-09-27,By Month,Texas,All Sexes,75-84 years,304,4824,405,0
118591,2023-09-27,By Month,Texas,All Sexes,85 years and over,355,4790,338,0
118592,2023-09-27,By Month,Texas,Male,All Ages,602,10969,738,0
118593,2023-09-27,By Month,Texas,Male,Under 1 year,0,131,0,0
118594,2023-09-27,By Month,Texas,Male,0-17 years,0,245,0,0
118595,2023-09-27,By Month,Texas,Male,1-4 years,0,26,0,0
118596,2023-09-27,By Month,Texas,Male,5-14 years,0,41,0,0
118597,2023-09-27,By Month,Texas,Male,15-24 years,0,260,0,0
118598,2023-09-27,By Month,Texas,Male,18-29 years,0,411,0,0
118599,2023-09-27,By Month,Texas,Male,25-34 years,0,440,0,0
118600,2023-09-27,By Month,Texas,Male,30-39 years,0,525,18,0
118601,2023-09-27,By Month,Texas,Male,35-44 years,16,562,24,0
118602,2023-09-27,By Month,Texas,Male,40-49 years,18,665,27,0
118603,2023-09-27,By Month,Texas,Male,45-54 years,31,849,38,0
118604,2023-09-27,By Month,Texas,Male,50-64 years,93,2213,128,0
118605,2023-09-27,By Month,Texas,Male,55-64 years,71,1750,105,0
118606,2023-09-27,By Month,Texas,Male,65-74 years,137,2489,183,0
118607,2023-09-27,By Month,Texas,Male,75-84 years,172,2543,218,0
118608,2023-09-27,By Month,Texas,Male,85 years and over,162,1878,151,0
118609,2023-09-27,By Month,Texas,Female,All Ages,488,9145,643,0
118610,2023-09-27,By Month,Texas,Female,Under 1 year,0,83,0,0
118611,2023-09-27,By Month,Texas,Female,0-17 years,0,151,0,0
118612,2023-09-27,By Month,Texas,Female,1-4 years,0,18,0,0
118613,2023-09-27,By Month,Texas,Female,5-14 years,0,36,0,0
118614,2023-09-27,By Month,Texas,Female,15-24 years,0,82,0,0
118615,2023-09-27,By Month,Texas,Female,18-29 years,0,132,0,0
118616,2023-09-27,By Month,Texas,Female,25-34 years,0,167,0,0
118617,2023-09-27,By Month,Texas,Female,30-39 years,0,204,0,0
118618,2023-09-27,By Month,Texas,Female,35-44 years,0,270,10,0
118619,2023-09-27,By Month,Texas,Female,40-49 years,12,375,24,0
118620,2023-09-27,By Month,Texas,Female,45-54 years,16,485,32,0
118621,2023-09-27,By Month,Texas,Female,50-64 years,51,1331,90,0
118622,2023-09-27,By Month,Texas,Female,55-64 years,42,1052,75,0
118623,2023-09-27,By Month,Texas,Female,65-74 years,93,1759,141,0
118624,2023-09-27,By Month,Texas,Female,75-84 years,132,2281,187,0
118625,2023-09-27,By Month,Texas,Female,85 years and over,193,2912,187,0
118626,2023-09-27,By Month,Texas,All Sexes,All Ages,1132,19549,1341,0
118627,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,190,0,0
118628,2023-09-27,By Month,Texas,All Sexes,0-17 years,11,332,0,0
118629,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,32,0,0
118630,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,56,0,0
118631,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,300,0,0
118632,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,475,0,0
118633,2023-09-27,By Month,Texas,All Sexes,25-34 years,11,505,13,0
118634,2023-09-27,By Month,Texas,All Sexes,30-39 years,10,647,13,0
118635,2023-09-27,By Month,Texas,All Sexes,35-44 years,20,785,24,0
118636,2023-09-27,By Month,Texas,All Sexes,40-49 years,31,931,38,0
118637,2023-09-27,By Month,Texas,All Sexes,45-54 years,46,1282,62,0
118638,2023-09-27,By Month,Texas,All Sexes,50-64 years,139,3417,217,0
